Track ID,Vehicle Class,Direction,Confidence,Number Plate
2,car,Wrong,0.87285566,No Plate Detected
2,car,Wrong,0.8622417,No Plate Detected
3,car,Wrong,0.8733542,No Plate Detected
3,car,Wrong,0.88832694,No Plate Detected
3,car,Wrong,0.8633165,No Plate Detected
3,car,Wrong,0.87320566,
3,car,Wrong,0.89952844,
1,truck,Wrong,0.93828785,
3,car,Wrong,0.8819329,No Plate Detected
1,truck,Wrong,0.9305903,
3,car,Wrong,0.8761437,No Plate Detected
1,truck,Wrong,0.94667155,
1,truck,Wrong,0.9534856,
1,truck,Wrong,0.9604431,No Plate Detected
1,truck,Wrong,0.9607433,No Plate Detected
1,truck,Wrong,0.90916884,No Plate Detected
17,car,Right,0.8215312,No Plate Detected
17,car,Right,0.8211471,No Plate Detected
17,car,Right,0.83416164,No Plate Detected
17,car,Right,0.804958,No Plate Detected
17,car,Right,0.80586004,No Plate Detected
17,car,Right,0.81182534,No Plate Detected
17,car,Right,0.8232886,No Plate Detected
17,car,Right,0.81814736,No Plate Detected
17,car,Right,0.8288584,No Plate Detected
17,car,Right,0.8096497,No Plate Detected
17,car,Right,0.79043555,No Plate Detected
17,car,Right,0.8122842,No Plate Detected
17,car,Right,0.816457,No Plate Detected
17,car,Right,0.7887287,No Plate Detected
17,car,Right,0.80323654,No Plate Detected
17,car,Right,0.8109017,No Plate Detected
17,car,Right,0.81725377,No Plate Detected
5,car,Right,0.8256927,No Plate Detected
17,car,Right,0.790365,No Plate Detected
5,car,Right,0.81730235,No Plate Detected
17,car,Right,0.800798,No Plate Detected
5,car,Right,0.80761826,No Plate Detected
17,car,Right,0.8228492,No Plate Detected
5,car,Right,0.83295876,No Plate Detected
17,car,Right,0.7969605,No Plate Detected
5,car,Right,0.82678396,No Plate Detected
17,car,Right,0.7989533,No Plate Detected
5,car,Right,0.8373283,No Plate Detected
17,car,Right,0.7839372,No Plate Detected
17,car,Right,0.80736583,No Plate Detected
17,car,Right,0.7951167,No Plate Detected
17,car,Right,0.80454177,No Plate Detected
17,car,Right,0.732656,No Plate Detected
17,car,Right,0.7323329,No Plate Detected
17,car,Right,0.73903304,No Plate Detected
17,car,Right,0.6758364,No Plate Detected
17,car,Right,0.6763452,No Plate Detected
17,car,Right,0.7717078,No Plate Detected
17,car,Right,0.733675,No Plate Detected
17,car,Right,0.73624206,No Plate Detected
17,car,Right,0.692039,No Plate Detected
17,car,Right,0.62531656,No Plate Detected
18,car,Right,0.82852906,No Plate Detected
18,car,Right,0.85592484,No Plate Detected
18,car,Right,0.81534535,No Plate Detected
18,car,Right,0.8393054,No Plate Detected
18,car,Right,0.81376684,No Plate Detected
18,car,Right,0.84553087,No Plate Detected
18,car,Right,0.8539788,No Plate Detected
18,car,Right,0.8356862,No Plate Detected
15,truck,Right,0.8982156,No Plate Detected
15,truck,Right,0.8960507,No Plate Detected
15,truck,Right,0.9242484,No Plate Detected
15,truck,Right,0.899562,No Plate Detected
15,truck,Right,0.9335567,
15,truck,Right,0.92938143,No Plate Detected
15,truck,Right,0.9284759,No Plate Detected
15,truck,Right,0.942042,No Plate Detected
24,car,Right,0.8163298,No Plate Detected
24,car,Right,0.81991744,No Plate Detected
24,car,Right,0.8352817,No Plate Detected
24,car,Right,0.82310784,No Plate Detected
24,car,Right,0.8483401,No Plate Detected
24,car,Right,0.84027356,No Plate Detected
24,car,Right,0.84949934,No Plate Detected
24,car,Right,0.84642136,No Plate Detected
24,car,Right,0.8686975,No Plate Detected
